airport_woe_id,airport_ne_gid,airport_county_woe_id,airport_icao_code,airport_ne_name,airport_woe_latitude,airport_woe_bbox,airport_ne_type,airport_country_woe_id,airport_woe_longitude,airport_ne_latitude,airport_iata_code,urbanarea_ne_gid,airport_ne_longitude,aerotropolis_woe_id,airport_woe_name,airport_iso,airport_state_woe_id
12514261,,,,,43.347801,"43.34325,76.872749,43.352348,76.885246",,23424871,76.878998,,,196,,35523347,Alma Ata Northwest Airport,KZ,20070180
12516615,,24505235,,,43.321999,"43.317451,45.017849,43.32655,45.03035",,23424936,45.024101,,,202,,,Ordzhonvldzevskaya Airport,RU,2346868
12516613,,12597314,,,43.206501,"43.20195,44.604259,43.211048,44.616741",,23424936,44.6105,,OGZ,203,,35524821,Ordzhonikidze North Airport,RU,20070521
12516614,,12597517,,,43.0429,"43.038349,44.615879,43.047451,44.628319",,23424936,44.622101,,,203,,35524821,Ordzhonikidze West Airport,RU,2346877
12514109,,,,,42.952099,"42.947552,74.834488,42.95665,74.846909",,23424864,74.840698,,,223,,,Milyanfan Airport,KG,20070195
12514122,,,,,42.832001,"42.82745,75.329597,42.836552,75.342003",,23424864,75.3358,,,225,,,Tokmak Airport,KG,20070195
12514117,,,,,42.5112,"42.506649,78.397133,42.515751,78.40947",,23424864,78.403297,,,232,,,Przhevalsk Airport,KG,20070190
12513015,609,,UGTB,Tbilisi Int'l,41.6716,"41.667049,44.949509,41.676151,44.961689",major,23424823,44.955601,,TBS,249,,35524691,Tbilisi-Noyo Alekseyevka Airport,GE,20070408
12513016,,,,,41.653,"41.648449,44.915821,41.657551,44.927979",,23424823,44.921902,,,249,,35524691,Tbilisi-Soganlug Airport,GE,20070408
12512112,,26198313,,,41.718102,"41.713551,82.979813,41.722649,82.991989",,23424781,82.985901,,,251,,,Kuqaxian Airport,CN,12578003
12522732,,,,,41.5784,"41.573849,60.95612,41.582951,60.968281",,23424980,60.9622,,,256,,,Turtkul Airport,UZ,2347663
12514450,,,,,41.451801,"41.44725,69.141541,41.456348,69.153664",,23424871,69.147598,,,257,,35523879,Sary Agach Airport,KZ,2345982
12522724,,,,,41.320202,"41.315651,69.397552,41.324749,69.409653",,23424980,69.403603,,,257,,35523879,Tashkent Airport,UZ,2347670
12522725,804,,UTTT,Tashkent Int'l,41.255199,"41.250648,69.278549,41.25975,69.290649",major,23424980,69.284599,,TAS,257,,35523879,Tashkent South Airport,UZ,20070172
12513014,,,,,41.466801,"41.46225,44.78793,41.471352,44.800072",,23424823,44.793999,,,262,,,Tbilisi-Marneuli Airport,GE,20070357
12511976,,26198313,,,41.171001,"41.166451,80.192162,41.175549,80.204239",,23424781,80.198196,,,272,,,Aksu Airport,CN,12578003
12522741,,,,,41.1343,"41.129749,69.051163,41.138851,69.06324",,23424980,69.057198,,,275,,,Yangi Yul Airport,UZ,2347670
12522731,,,,,41.072201,"41.06765,69.337868,41.076752,69.34993",,23424980,69.343903,,,276,,,Toy Tepa Airport,UZ,2347670
12514096,,,,,40.947701,"40.94315,72.968979,40.952251,72.981018",,23424864,72.974998,,,282,,,Dzhalal Abad Airport,KG,20070193
12522572,,,,,40.749001,"40.74445,72.740097,40.753551,72.752098",,23424980,72.746101,,,282,,,Aim Southeast Airport,UZ,2347659
12522576,,,,,40.732399,"40.727852,72.287102,40.73695,72.299103",,23424980,72.293098,,AZN,290,,35524301,Andizhan Airport,UZ,2347659
12522698,,,,,40.882801,"40.87825,71.175491,40.887348,71.187508",,23424980,71.181503,,,294,,,Pap East Airport,UZ,2347666
12523169,,15022526,,,40.785912,"40.781361,43.837872,40.790459,43.849869",,23424743,43.843868,,,296,,,Gyumri Airport,AM,20070203
12514111,,,,,40.615501,"40.61095,72.779312,40.620049,72.79129",,23424864,72.785301,,OSS,308,,35525309,Osh Airport,KG,20070197
12514113,,,,,40.541698,"40.537151,72.757622,40.546249,72.769577",,23424864,72.763603,,,308,,35525309,Osh West Airport,KG,20070197
12522619,,,,,40.508701,"40.50415,68.795418,40.513248,68.807381",,23424980,68.801399,,,312,,,Gulistan North Airport,UZ,2347669
12522602,,,,,40.305698,"40.301151,69.065643,40.310249,69.07756",,23424980,69.071602,,,322,,,Dimitrovskoye Airport,UZ,2347669
12517806,,,,,40.124199,"40.119652,70.65876,40.12875,70.670639",,23424961,70.664703,,,332,,,Isfara Airport,TJ,20070294
12522647,,,,,39.9081,"39.903549,66.300171,39.912651,66.312027",,23424980,66.306099,,,344,,,Katta-Kurgan East Airport,UZ,20070173
12522588,,,,,39.7948,"39.790249,64.483582,39.799351,64.495422",,23424980,64.489502,,BHK,353,,35525197,Bukhara Airport,UZ,2347660
12522689,,,,,39.742699,"39.738152,67.262787,39.74725,67.274612",,23424980,67.2687,,,354,,,Ndb Krasnogvardeysk Airport,UZ,20070173
12522658,,,,,39.162498,"39.157951,66.848244,39.167049,66.859962",,23424980,66.854103,,,380,,,Kitab Northwest Airport,UZ,2347664
12522643,,,,,38.804199,"38.799648,65.765869,38.80875,65.777527",,23424980,65.771698,,KSQ,390,,35524643,Karshi South Airport,UZ,2347664
12522620,,,,,38.6348,"38.630249,66.266777,38.639351,66.278419",,23424980,66.272598,,,398,,,Guzar Airport,UZ,2347664
12517960,,,,,37.9842,"37.979649,58.323631,37.98875,58.335171",,23424972,58.329399,,,415,,35523781,Ashkhabad Northwest Airport,TM,2347347
12517996,,,,,37.6754,"37.670849,61.815262,37.679951,61.82674",,23424972,61.820999,,,424,,35525307,Mary North Airport,TM,2347350
12517997,,,,,37.6231,"37.618549,61.888458,37.627651,61.89994",,23424972,61.894199,,MYP,424,,35525307,Mary Northeast Airport,TM,2347350
12518007,,,,,37.377899,"37.373348,60.467579,37.38245,60.479019",,23424972,60.473301,,,436,,,Tedzhen Airport,TM,2347347
12522727,,,,,37.2808,"37.276249,67.30069,37.285351,67.312111",,23424980,67.306396,,,441,,,Termez Airport,UZ,2347668
12513753,,,,,36.1903,"36.185749,57.70377,36.194851,57.715031",,23424851,57.7094,,AFZ,473,,35525469,Sabzevar Airport,IR,56189823
12523246,,26198311,,,39.133331,"39.12878,117.344139,39.137878,117.355858",,23424781,117.349998,,,487,,35524207,Zhangguizhuang Airport,CN,12578017
12523189,,,,,12.23333,"12.22878,109.195351,12.23788,109.204651",,23424984,109.199997,,NHA,488,,35525455,Nha-Trang Airport,VN,2347738
12512102,,26198070,,,39.027901,"39.02335,121.758949,39.032452,121.770653",,23424781,121.764801,,,489,,35524205,Jinxian Southeast Airport,CN,12578008
12512277,,26198070,,,38.983898,"38.979351,121.399246,38.988449,121.41095",,23424781,121.405098,,,489,,35524205,Yingchengzi Airport,CN,12578008
23388254,607,26198070,ZYTL,Dalian Zhoushuizi Int'l,38.9617,"38.95715,121.537529,38.966251,121.549232",major,23424781,121.543381,,DLC,489,,35524205,Chou Shui Tzu Airport,CN,12578008
12515007,,56013636,,,3.1131,"3.10855,101.699852,3.11765,101.708946",,23424901,101.704399,,,491,,35524579,Simpang Airport,MY,56014685
12515008,,56013632,,,3.083537,"3.11778,101.539009,3.149162,101.557098",,23424901,101.570321,,SZB,491,,35524579,Sultan Abdul Aziz Shah Airport,MY,2346306
23388362,851,55922623,OMDB,Dubai Int'l,25.250743,"25.239376,55.352039,25.260609,55.376156",major,23424738,55.362966,,DXB,493,,35523525,Dubai International Airport,AE,2347111
12517347,,56120204,,,21.35,"21.345449,39.168419,21.354549,39.178181",,23424938,39.173302,,,495,,35523517,King Faisal Naval Base,SA,2346959
23388353,683,56120204,OEJN,King Abdul Aziz Int'l,21.7503,"21.746466,39.131016,21.754986,39.134266",major,23424938,39.133082,,JED,495,,35523517,King Abdul Aziz International Airport,SA,2346959
12513909,,55999948,,,35.468102,"35.463551,44.348019,35.472649,44.35918",,23424855,44.3536,,,505,,,Kirkuk Airport,IQ,2345845
12513727,,,,,34.869202,"34.864651,48.546661,34.873749,48.557739",,23424851,48.5522,,HDM,539,,35525279,Hamadan Airport,IR,2345774
12515266,,,,,34.8125,"34.807949,72.34726,34.817051,72.358337",,23424922,72.352798,,SDT,546,,35524903,Saidu Sharif Airport,PK,2346497
12513725,,,,,34.3825,"34.377949,58.643688,34.387051,58.654709",,23424851,58.6492,,,567,,,Gonabad Airport,IR,56189823
12513892,,55999939,,,33.794399,"33.789848,44.599232,33.79895,44.610168",,23424855,44.604698,,,603,,,Baqubah Airport,IQ,2345842
12515238,564,,OPRN,Benazir Bhutto Int'l,33.6147,"33.610149,73.09124,33.619251,73.102158","major,military",23424922,73.096703,,ISB,606,,35524167,Islamabad International Airport,PK,2346498
12515259,,,,,33.563301,"33.55875,73.027847,33.567848,73.03875",,23424922,73.033302,,,606,,35524167,Qasim Airport,PK,2346498
12513729,,,,,33.6236,"33.619049,46.41124,33.628151,46.422161",,23424851,46.416698,,,614,,,Ilam Airport,IR,2345775
12515243,,,,,33.573898,"33.569351,71.433739,33.578449,71.444656",,23424922,71.439201,,OHT,616,,35524519,Kohat Airport,PK,2346497
12513708,,,,,32.8983,"32.893749,59.25769,32.902851,59.268509",,23424851,59.2631,,XBJ,683,,35524551,Birjand Airport,IR,56189825
12513606,,12586454,,,32.6917,"32.687149,74.8321,32.696251,74.842903",,23424848,74.837502,,,692,,35523741,Jammu Airport,IN,2345746
12513715,,,,,32.431702,"32.427151,48.393509,32.436249,48.404289",,23424851,48.398899,,DEF,723,,35525395,Dezful Airport,IR,2345778
12515228,,,,,32.422501,"32.41795,71.451019,32.427052,71.461777",,23424922,71.456398,,,725,,,Chashma Airport,PK,2346498
12515276,,,,,32.305599,"32.301048,69.566322,32.31015,69.57708",,23424922,69.571701,,,743,,,Wana Airport,PK,2346495
12515267,,,,,32.051899,"32.047352,72.660744,32.05645,72.671463",,23424922,72.6661,,BHW,755,,35525377,Bhagatanwala Airport,PK,2346498
12523059,,,,,32.049999,"32.045448,72.661308,32.05455,72.672028",,23424922,72.666672,,SGI,755,,35525377,Sargodha Airport,PK,2346498
12513745,,,,,32.0028,"31.998249,49.264641,32.007351,49.27536",,23424851,49.27,,,763,,,Masjed Soleiman Airport,IR,2345778
12515232,,,,,31.9097,"31.905149,70.891853,31.914249,70.90255",,23424922,70.897202,,DSK,780,,35525009,Dera Ismail Khan Airport,PK,2346497
12516015,,12597305,,,43.3964,"43.39185,45.680538,43.400951,45.693062",,23424936,45.686798,,GRV,820,,35524641,Groznyy Airport,RU,2346868
12516016,,12597305,,,43.310699,"43.306149,45.767052,43.31525,45.779549",,23424936,45.7733,,,820,,35524641,Groznyy East Airport,RU,2346868
12514097,,,,,42.818901,"42.81435,74.569702,42.823448,74.5821",,23424864,74.575897,,,821,,,Frunze Airport,KG,20070194
12522649,,,,,41.0812,"41.076649,72.02977,41.085751,72.041832",,23424980,72.035797,,,826,,,Kayki Airport,UZ,2347666
12522684,,,,,40.978699,"40.974152,71.561684,40.98325,71.573723",,23424980,71.567703,,NMA,827,,35524639,Namangan Airport,UZ,2347666
12522685,,,,,41.0476,"41.043049,71.783371,41.052151,71.795433",,23424980,71.789398,,,827,,35524639,Namangan Northeast Airport,UZ,2347666
12522661,,,,,40.541401,"40.53685,70.962021,40.545952,70.973984",,23424980,70.968002,,,830,,,Kokand Airport,UZ,2347662
12522663,,,,,40.449501,"40.44495,70.98243,40.454048,70.99437",,23424980,70.988403,,,830,,,Kokand South Airport,UZ,2347662
12522664,,,,,40.388401,"40.38385,71.086929,40.392948,71.098869",,23424980,71.092903,,,830,,,Kokland Southeast Airport,UZ,2347662
12522740,,,,,40.555099,"40.550549,71.196716,40.55965,71.208679",,23424980,71.202698,,,830,,,Yangi Kurgan Airport,UZ,2347662
12522745,,,,,40.3806,"40.376049,70.921333,40.385151,70.933273",,23424980,70.927299,,,830,,,Yaydan Northeast Airport,UZ,2347662
12517809,,,,,40.1702,"40.165649,69.710953,40.174751,69.722847",,23424961,69.716904,,,832,,,Kalacha Northeast Airport,TJ,20070294
12517823,,,,,40.219799,"40.215248,69.682549,40.22435,69.69445",,23424961,69.688499,,,833,,,Leninabad Airport,TJ,20070294
12510427,,15022531,,,40.150903,"40.147404,44.394054,40.153816,44.399784",,23424743,44.397409,,,834,,35523817,Yerevan-Parakar Airport,AM,20070210
12510428,,15022561,,,40.305099,"40.300549,44.560242,40.30965,44.572159",,23424743,44.5662,,,834,,35523817,Yerevan-Yegvard Airport,AM,20070208
12513702,274,,OICC,Shahid Ashrafi Esfahani,34.3489,"34.344349,47.151691,34.353451,47.162708",mid,23424851,47.1572,,KSH,845,,35524101,Bakhtaran Airport,IR,2345777
12515240,,,,,33.8708,"33.866249,72.402832,33.875351,72.413773",,23424922,72.408302,,,847,,35524099,Kamra Airport,PK,2346498
12515258,347,,OPPS,Bacha Khan Int'l,33.993301,"33.98875,71.509521,33.997849,71.520477",mid,23424922,71.514999,,PEW,847,,35524099,Peshawar Airport,PK,2346495
12515264,,,,,34.080601,"34.07605,71.975609,34.085152,71.986588",,23424922,71.981102,,,847,,35524099,Risalpur Airport,PK,2346497
12515272,,,,,33.985802,"33.981251,72.60672,33.990349,72.617683",,23424922,72.612198,,,847,,35524099,Tarbela Dam Airport,PK,2346497
12513883,,55999978,,,33.526402,"33.521851,44.25285,33.530949,44.263748",,23424855,44.258301,,,851,,35523415,Al Taji Airport,IQ,2345839
12513890,,55999983,,,33.332802,"33.328251,44.358459,33.337349,44.369339",,23424855,44.363899,,BGW,851,,35523415,Al Muthana Airport,IQ,2345839
