962,,12510907,Jorge Henrich Arauz Airport
963,LPB,12510906,El Alto International Airport
964,CBB,12510908,Jorge Wilsterman Airport
973,TJA,12510904,Capitan Oriel Lea Plaza Airport
983,,12510509,Jujuy Aeroclub Airport
987,TUC,12510566,Teniente Benjamin Matienzo Airport
992,,12510562,Santiago del Estero Airport
993,,12510471,Catamarca Aeroclub
995,,12510498,Frias Airport
1015,COR,12510482,Ingeniero Ambrosio L.V. Taravella International Airport
1015,,12510494,Escuela de Aviacion Militar
1018,,12510553,San Juan Aeroclub Airport
1024,,12523759,Villa Dolores Airport
1030,,12510456,Aeroparque Ciudad Mendoza
1030,MDZ,12510491,El Plumerillo Airport
1030,,12510512,La Puntilla Airport
1034,,12510554,San Luis Airport
1042,VGS,12523570,General Villegas Airport
1044,,12510517,Malargue Airport
1046,,12510500,General Pico Airport
1049,SRZ,12510905,El Trompillo Airport
1051,,12511922,Yellowknife Airport
1070,,12511994,Chang Chun East Airport
1079,,12512267,Yanji South Airport
1104,,12512001,Chaoyang Airport
1110,,12511990,Beiling Airport
1110,SHE,12512041,Dongta Airport
1110,,12512082,Hunhe Airport
1110,,12512282,Yu Hung Tun Airport
1139,,12512292,Zhangjiakou Southeast Airport
1151,BAV,12511987,Baotou Airport
1176,,12514170,Sinuiju Airport
1198,JGN,12512095,Jiayuguan Airport
1202,DSN,12512040,Dongsheng Airport
1230,,12512301,Zhuoxian Airport
1264,,12511985,Baoding Airport
1289,,12512275,Yinchuan Airport
1293,,12512286,Yulin Airport
1293,,12512287,Yulin West Airport
1304,,12512189,Shijazhuang Airport
1309,,12514222,Solak Airport
1325,,12514199,A 306 Airport
1339,,12514206,Kangnung Airport
1358,YNT,12523272,Yantai Airport
1459,,12512229,Wexian Airport
1462,XNN,12512251,Xining Airport
1464,CJJ,12514203,??????
1475,,12512261,Yanan Airport
1512,,12511647,Edmonton City Centre Airport
1513,,12511651,Edson Airport
1522,,12511710,Kamloops Airport
1523,,23388227,Regina Airport
1526,YYC,12511594,Calgary International Airport
1527,,12511748,Medicine Hat Airport
1528,,12511712,Kelowna International Airport
1539,SFF,12519720,Felts Field Airport
1540,COE,12519264,Coeur d'Alene Air Term Airport
1544,MWH,12519959,Grant County International Airport
1544,,12523384,Larson Air Force Base
1549,,12522262,Vagabond Army Air Field
1549,YKM,12522526,Yakima Air Terminal
1552,,12521584,Richland Airport
1552,PSC,12522188,Tri Cities Airport
1552,,12522292,Vista Field Airport
1573,,12511982,Anyang Airport
1583,,12514205,Jhunju Airport
1607,,12512302,Zhuwu Airport
1616,,12514213,Onyang Highway Strip Airport
1631,,12512158,Pingliang Airport
1648,,12514210,????
1648,,12514212,Naegi Ri Highway Strip Airport
1657,HIN,12514226,????
1684,,12512105,Jiyuan Airport
1696,CGO,12523109,Zhengzhou Airport
1715,,12512268,Yanliang Airport
1721,LYA,12523313,Luoyang Airport
1745,,12512017,Chiu Li Shan Airport
1745,,12512023,Daguozhang Airport
1749,HIJ,28360532,????
1761,SIA,12512238,Xiguan Airport
1777,TKS,12514027,????
1780,UBJ,12514036,??????
1781,,12511996,Changge Airport
1798,MYJ,12513985,????
1832,,12513978,????
1838,,12512263,Yancheng Airport
1845,JCJ,12523361,Chu Ja Heliport
1863,JSP,12523360,Sogwipo Heliport
1869,HZG,12512068,Hanzhong Airport
1880,,28360573,???????
1884,,12512152,Nanyang Airport
1918,,12512291,Yuxikou Airport
1918,,12523190,Nanjing Lukou International Airport
1935,,12523350,Nantong Airport
1945,,12512029,Danyang Airport
1959,,12513971,?????
2010,BIL,12520688,Logan International Airport
2015,,29388006,Lien Airfield
2016,,12519937,Gopher Gulch Airport
