urbanarea_id,airports
6539,"HEL,HEM"
973,TJA
4539,BGR
4829,AUW
4826,RRL
5543,CCP
5540,ATF
4949,ITN
4948,JEQ
4820,"ADW,BWI,BZS,CGS,DCA,IAD,MTN"
3697,CZE
9401,ZTN
11627,RZR
8613,OLB
6362,PEE
6361,CEE
3086,ELP
3081,TUS
8590,DRM
5248,BUV
10155,PTG
2629,ICN
3875,CHA
9584,BSL
7359,MXR
9235,GRO
8476,SZR
9232,"LYN,LYS"
9233,CFE
11,PGF
10294,RUN
6406,OUL
7561,WAW
19,BCN
8184,JLO
862,MHD
3441,TTJ
2756,URC
2740,"CYI,KHH,PIF,RMQ,TNN,TXG"
7409,LUX
2022,IDA
2023,RBG
4557,MTW
7768,LGW
3907,ILM
887,NDJ
3902,TOC
1973,NKG
889,KAN
3908,TUP
6814,VNO
2087,CTU
9058,PMF
11526,CAI
11162,GIZ
11522,PSD
9712,VIE
9050,VCE
10667,SKZ
11676,TBZ
6621,NRK
2719,MPK
10120,OHI
5199,CNT
3234,BLK
10086,NOV
4003,PFN
5190,CFC
5193,NVT
4007,GNV
11813,NSN
8923,HER
3974,NAB
10429,MRX
8840,GJL
9954,ACC
11567,MCX
8929,LAK
203,OGZ
3873,POB
2875,IPH
8649,BDS
2979,CTS
3351,NGO
3059,PSP
9915,"NSI,YAO"
3052,OXR
3050,SBA
1042,VGS
9077,PSR
3029,BGD
949,BBT
2339,ISG
1049,SRZ
4718,RDG
5445,"SJO,SYQ"
683,XBJ
10942,IDR
4303,TUL
3716,CBS
4307,SAT
4306,"AAP,CLC,EFD,HOU,IAH,IWS,JMA,SGR"
4305,"HKS,JAN"
4304,"ADS,DAL,DFW,DNE,FTW,GPM,RBD"
9471,"MUC,MUCf"
9476,ZNI
5171,"BFH,CWB"
3022,CRO
4479,BIO
2091,AQG
5096,REZ
11231,CDP
5504,OVL
3657,KMS
3650,BYK
8786,CTA
4477,LRH
8423,VAR
692,IXJ
9780,DIJ
1544,MWH
2526,AFF
2521,CSN
1540,COE
4901,QBX
4900,"MAO,PLL"
4902,FOR
2482,DAD
7611,UMY
7612,IEV
1549,YKM
8711,ASR
546,SDT
11704,GEA
1464,CJJ
11706,ROK
11468,ALY
1462,XNN
5065,POO
10355,AWZ
9272,MDM
9273,"TLS,XYT"
10352,LHE
10353,LYP
5146,MGF
2704,"BKK,DMK"
10055,SZA
2706,MNL
2701,UTP
10051,KGA
3403,TOY
6440,TRD
1015,COR
3881,GSP
9175,AUR
4234,GLS
7441,HMJ
4876,MKC
11400,TUU
4873,SPI
8984,HFA
4400,CHV
11767,GFF
4658,EWB
415,ASB
6310,"BKA,SVO"
7683,UTC
2142,CKG
4974,PIV
10753,GWL
4970,GYN
2797,KTM
4010,"DAB,OMN"
3948,OKZ
3826,"BNA,JWN,MQY"
9095,MIR
11801,GIS
3943,TCL
3944,SCD
11806,PMR
9092,ALG
3947,CHS
11553,ASF
6708,AGH
10129,TSB
11202,SAH
9165,CMF
8324,"BBU,OTP"
6990,POZ
9659,GRZ
10693,AGR
9714,BTS
5099,"PJC,PMG"
9913,TKC
9912,DLA
3470,"HND,NRT"
834,EVN
4285,TCN
9919,IBA
11364,VTZ
10335,WVK
3479,"CLD,NKX,NZY,SAN,SEE,TIJ"
4125,"LIT,LRF,RBM"
491,SZB
4497,"LIS,XXC"
4496,"BGZ,OPO"
2665,"FUK,HSG,KMJ"
10573,BUZ
4490,VIT
7720,HTF
7958,TZX
363,KHG
1749,HIJ
4721,MDT
7022,BWE
10542,KWI
5487,AQP
3310,"BUT,LPL,MAN"
3312,DUB
6679,RIX
5482,PIO
9009,BEN
5480,CUZ
4056,"SPB,STT"
4055,"SIG,SJU"
780,DSK
22,"JRB,TSS"
9390,ROV
10718,DHA
5241,ALQ
1648,KWJ
4059,"MSB,SFG"
1721,LYA
4930,PAV
9966,DAR
10860,MED
10866,AZI
8819,BJV
3758,CBL
3614,NDB
3615,NKC
3619,DKR
3754,CLZ
3757,"CGU,PZO,SFX"
3756,BNS
3004,LSN
2193,CSX
64,"IKT,UIIR"
4636,AZO
3003,SGU
3167,"EDF,MRI"
3162,YXY
257,TAS
3161,ANC
2200,WNZ
7097,CBU
5484,JUL
5434,MDQ
5438,MJR
10916,BHO
6689,HAD
10959,BDQ
9107,TSF
11420,ABS
1030,MDZ
11427,KRT
10919,BHJ
5029,PSW
8104,ARW
1358,YNT
9137,SAW
9135,NAP
4274,TLC
2437,CNX
9138,IST
8108,BLX
5554,UIO
5557,MEC
8268,SIP
1869,HZG
3725,VCR
3727,BRM
5558,PVO
3722,VLN
3723,BLA
11069,IXU
4838,JMN
966,SRE
4933,MCZ
2899,SRG
961,RBR
5113,"SDU,SNZ"
963,LPB
11061,ISK
3681,SVQ
4050,CTM
4835,STE
11735,CFS
9438,PZY
2514,RNO
1512,YXD
4080,FMY
3760,CUC
4082,"BCT,FLL,FXE,HWO,LNA,MIA,OPF,PBI,PMP,TMB"
2737,TAK
2730,"TPE,TSA"
8364,ALL
2732,WUH
10526,ZAH
2631,"GMP,SSN"
5118,CFB
10160,PHW
3531,"AGP,UTL"
9229,"AVN,CTT,MRS,TLN"
3538,TTU
11831,ABX
4661,HYA
8568,SSX
879,NIM
876,AEH
3437,IZO
4093,"IAB,ICT"
3185,SLE
4590,"BUF,IAG"
2742,XMN
4597,FNT
2030,MFR
4599,PSM
2039,"BTF,SLC"
3917,"ATL,JAE,JAJ,JAO,MGE,PDK,RYY"
3916,"CAE,CUB"
10264,OUH
3912,GRD
10268,PLZ
10269,"CPT,XYS"
